Qty-1,Part References,Value,Package,Mfg Part Num,Mfg Name,VID,Vendor Part Num,Description,XREF
1,R8,0,0207/7,ZOR-12-B-52-0R,Yageo,DK,0.0EBK-ND,RES 0.0 OHM 1/6W JUMP AXIAL,REF35
1,R2,1K,0207/7,CFR-12JB-52-1K,Yageo,DK,1.0KEBK-ND,RES 1K OHM 1/6W 5% CARBON FILM,REF32
1,D1,1N4004,DO41-10,1N4004GP-E3/54,Vishay Semiconductor,DK,1N4004GP-E3/54GITR-ND,DIODE GEN PURP 400V 1A DO204AL,REF19
1,JP1,1X2 Header,1X02,640456-2,TE Connectivity,DK,A1921-ND,CONN HEADER VERT 2POS .100 TIN,REF26
1,R5,2.4K,0207/7,CFR-12JB-52-2K4,Yageo,DK,2.4KEBK-ND,RES 2.4K OHM 1/6W 5% CARBON FILM,REF34
4,"R3, R7, R9, R10",10K,0207/7,CFR-12JB-52-10K,Yageo,DK,10KEBK-ND,RES 10K OHM 1/6W 5% CARBON FILM,REF31
1,R4,10K,EVUF,EVU-F3AF30B14,Panasonic Electronic Components,DK,P3A1103-ND,POT 10K OHM 9MM VERT NO BUSHING,REF38
1,C3,10uF,"E2,5-6E",TAP106M025SCS,AVX Corporation,DK,478-5813-ND,CAP TANT 10UF 25V 20% RADIAL,REF39
1,Y1,16MHz,RESONATOR-PTH,CSTLS16M0X53-B0,Murata Electronics,DK,490-7035-ND,CER RESONATOR 16MHZ,REF24
1,R1,24K,0207/7,CFR-12JB-52-24K,Yageo,DK,24KEBK-ND,RES 24K OHM 1/6W 5% CARBON FILM,REF33
4,"C1, C2, C4, C5",100nF,C025-025X050,SR295E104MAR,AVX Corporation,DK,478-5741-ND,CAP CER 0.1UF 50V 20% RADIAL,REF23
1,R6,510,0207/7,CFR-12JB-52-510R,Yageo,DK,510EBK-ND,RES 510 OHM 1/6W 5% CARBON FILM,REF36
1,U1,ATMEGA328P_PDIP,DIL28-3,ATMEGA328P-PU,Atmel,DK,ATMEGA328P-PU-ND,IC MCU 8BIT 32KB FLASH 28DIP,REF21
4,"S2, S3, S4, S5",B3F-1070,B3F-10XX,B3F-1070,Omron Electronics,DK,SW406-ND,SWITCH Tactile SPST-NO 0.05A 24V,REF16
1,JP7,FTDI_DEVICE,FTDI_DEVICE_SIDE,826926-6,TE Connectivity,DK,A106757-ND,CONN HEADER BRKWAWAY 6POS TIN,REF27
1,JP6,HDR1X4,1X04/90,68016-204HLF,FCI,DK,609-3319-ND,CONN HEADER 4POS .100 R/A 15AU,REF42
4,"JP2, JP3, JP4, JP5",HDR2X3,2X03/90,68021-206HLF,FCI,DK,609-3343-ND,CONN HEADER 6POS .100 R/A 15AU,REF41
1,U2,LCD-16X2SILK,LCD-16X2,LCM-S01602DSF/A,Lunex Opto/Components Inc,DK,67-1758-ND,LCD Module 16X2 CHARACTER W/LED,REF37
1,IC1,MC33269D-5.0,DPACK,MC33269DTRK-5.0G,ON Semiconductor,DK,MC33269DTRK-5.0GOSTR-ND,IC REG LDO 5V 0.8A DPAK,REF18
1,S1,POWER,SWITCH-SPDT,EG1218,E-Switch,DK,EG1903-ND,SWITCH SLIDE SPDT 30V .2A PC MNT,REF40
